[2025-08-20T09:36:08.650+0530][gc,heap     ] GC(16) Survivor regions: 6->6(9)
[2025-08-20T09:36:08.650+0530][gc,heap     ] GC(16) Old regions: 21->22
[2025-08-20T09:36:08.650+0530][gc,heap     ] GC(16) Humongous regions: 11->11
[2025-08-20T09:36:08.650+0530][gc,metaspace] GC(16) Metaspace: 77758K(78592K)->77758K(78592K) NonClass: 68535K(68992K)->68535K(68992K) Class: 9222K(9600K)->9222K(9600K)
[2025-08-20T09:36:08.650+0530][gc          ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 3097M->1213M(6144M) 79.526ms
[2025-08-20T09:36:08.651+0530][gc,cpu      ] GC(16) User=0.80s Sys=0.00s Real=0.08s
[2025-08-20T09:36:15.190+0530][gc,start    ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:36:15.190+0530][gc,task     ] GC(17) Using 10 workers of 10 for evacuation
[2025-08-20T09:36:15.273+0530][gc,phases   ] GC(17)   Pre Evacuate Collection Set: 0.3ms
[2025-08-20T09:36:15.274+0530][gc,phases   ] GC(17)   Merge Heap Roots: 0.2ms
[2025-08-20T09:36:15.274+0530][gc,phases   ] GC(17)   Evacuate Collection Set: 70.4ms
